response_id	field	final_field_1	final_field_2	final_field_3
R_1Q4xGaXB3WozQgQ	Addiction	Clinical Psychology		
R_3r1WNUyPtbMhcDf	affective neuroscience	Neurophysiology and Physiological Psychology		
R_1QbEWXzRJfl7Jgu	affective neuroscience and forensic psychology	Neurophysiology and Physiological Psychology	Other	
R_3GdIMXFqBE6p73h	Anesthesiology	Other		
R_2Vf01udewtYjCGJ	Applied linguistics	Applied Psychology		
R_3rYchwsE2oh6xcF	Applied psych	Applied Psychology		
R_3oZA2TQovqHZAJK	Attentional Bias	Experimental and Cognitive Psychology		
R_cv8SAMeLpk0ITzH	behavioral genetics, behavioral economics	Other		
R_2WD5G1noe5orgHK	Behavioral neuroscience; biological psychology	Neurophysiology and Physiological Psychology	Other	
R_3iJDRidtuqK8rVF	clinical epidemiology	Other		
R_T4KU5hayr0KqqGd	Clinical health psychology	Clinical Psychology		
R_2wviPly3YQzmPqY	clinical psychology	Clinical Psychology		
R_1Iu3NDvQBN2hjRD	clinical psychology	Clinical Psychology		
R_3kdmqgVrEtnCqHw	clinical psychology	Clinical Psychology		
R_1d1gXfkRb5yVS6Z	Clinical psychology	Clinical Psychology		
R_YbqkT4QYFuynhu1	Clinical psychology	Clinical Psychology		
R_2v63YsiMNfkepBF	Clinical psychology	Clinical Psychology		
R_6stmvjaMbL97rZ7	clinical psychology and methodology	Clinical Psychology	Methodology and Statistics	
R_2TvfevvUaXHQnFE	Clinical/Developmental psychology	Clinical Psychology	Developmental and Educational Psychology	
R_1Kv7pJfXLRdSL8t	cognitive	Experimental and Cognitive Psychology		
R_1dv2wqlbdQ3CAkI	Cognitive	Experimental and Cognitive Psychology		
R_2WZRgMdFOz84hnm	cognitive	Experimental and Cognitive Psychology		
R_32XWh9aX5EKrZXV	cognitive	Experimental and Cognitive Psychology		
R_1LCIHXpDM4JmYcy	Cognitive	Experimental and Cognitive Psychology		
R_29ao1CU8JkpACq6	cognitive	Experimental and Cognitive Psychology		
R_ZsLrB8dlsdpskiR	cognitive	Experimental and Cognitive Psychology		
R_2wKWIa63sD7BCxk	cognitive	Experimental and Cognitive Psychology		
R_1nTmNu3nKCS7gjL	cognitive and perceptual psychology	Experimental and Cognitive Psychology		
R_21agB31b9EVmLGP	Cognitive and social psychology	Experimental and Cognitive Psychology	Social Psychology	
R_3OjJnfFqkmgWLR8	cognitive development	Experimental and Cognitive Psychology		
R_2uE3C20kj0Wz9TT	Cognitive Neuroscience	Experimental and Cognitive Psychology		
R_2qrTKgi3gF1DAFS	cognitive neuroscience	Experimental and Cognitive Psychology		
R_BRth86KL2RGT1FD	cognitive neuroscience	Experimental and Cognitive Psychology		
R_3gFoMxFPMHv81Y5	cognitive neuroscience	Experimental and Cognitive Psychology		
R_2tL1FplOL20yA2u	cognitive neuroscience	Experimental and Cognitive Psychology		
R_1IAVMCgHMW513a5	cognitive neuroscience	Experimental and Cognitive Psychology		
R_0pSnlhM9cjoo761	cognitive neuroscience	Experimental and Cognitive Psychology		
R_24uXQr3Dkx8qLAX	cognitive psychologie	Experimental and Cognitive Psychology		
R_1H2htFj1E556ba2	cognitive psychology	Experimental and Cognitive Psychology		
R_3MbetgMtnNGrG16	cognitive psychology	Experimental and Cognitive Psychology		
R_1pYASbK3bjsXvKp	Cognitive psychology	Experimental and Cognitive Psychology		
R_3FXzq2gg3nYRmFq	Cognitive psychology	Experimental and Cognitive Psychology		
R_2dYkdxQ9PL6pAVP	cognitive psychology	Experimental and Cognitive Psychology		
R_2dnlZgwtqHaFIXb	Cognitive psychology	Experimental and Cognitive Psychology		
R_PUqzH7kaWUs0x6F	Cognitive psychology	Experimental and Cognitive Psychology		
R_2VqGz6HTdk71EPx	Cognitive psychology	Experimental and Cognitive Psychology		
R_2tna91iuu646Kj4	cognitive psychology	Experimental and Cognitive Psychology		
R_C2AMSaUaXOwGlVf	Cognitive Psychology	Experimental and Cognitive Psychology		
R_1HbNTULAppwKuKR	cognitive psychology	Experimental and Cognitive Psychology		
R_2amXG7udUh35vJq	cognitive psychology	Experimental and Cognitive Psychology		
R_ReQbuKsx2C4zpPX	Cognitive psychology	Experimental and Cognitive Psychology		
R_2f2J8gyUq8CyL6K	Cognitive psychology	Experimental and Cognitive Psychology		
R_1eY6ADYVaDA8RUL	cognitive psychology	Experimental and Cognitive Psychology		
R_1rp2Bgt6xrvGjf3	cognitive psychology	Experimental and Cognitive Psychology		
R_10PGaJYGZFZ5Ndh	Cognitive Psychology	Experimental and Cognitive Psychology		
R_PthdwK7RVDyqnAt	Cognitive psychology	Experimental and Cognitive Psychology		
R_2wpiWC3QmXUsBpn	Cognitive Psychology	Experimental and Cognitive Psychology		
R_Q3PjJyMetbdGALv	cognitive psychology	Experimental and Cognitive Psychology		
R_a5CTfT7qYZ1SldT	cognitive psychology	Experimental and Cognitive Psychology		
R_wLDde3ZxuDHYHIJ	cognitive psychology	Experimental and Cognitive Psychology		
R_w5UK0xElA4EgdC9	Cognitive Psychology	Experimental and Cognitive Psychology		
R_BqSqWJtsoaJPH3j	cognitive psychology	Experimental and Cognitive Psychology		
R_1i8Vd6PGqUh7qUR	cognitive psychology	Experimental and Cognitive Psychology		
R_DH7Gxx0D6qahsBP	Cognitive psychology	Experimental and Cognitive Psychology		
R_1CDcy7sfuj2shJR	cognitive psychology	Experimental and Cognitive Psychology		
R_3eejdEIlkrPx9et	Cognitive psychology	Experimental and Cognitive Psychology		
R_1mKs7khqyhicQPe	Cognitive Psychology	Experimental and Cognitive Psychology		
R_9YMU1nWewnmzL1f	cognitive psychology	Experimental and Cognitive Psychology		
R_1LzgCZpQhhWWiLx	cognitive psychology	Experimental and Cognitive Psychology		
R_27lFXkGylUWfENM	Cognitive Psychology	Experimental and Cognitive Psychology		
R_33jbAKMLBcVgPvt	cognitive psychology	Experimental and Cognitive Psychology		
R_2TsG3xCxZ42y6c8	Cognitive Psychology	Experimental and Cognitive Psychology		
R_1l0Q7xfWBgvk34U	cognitive psychology	Experimental and Cognitive Psychology		
R_1FewIA8BID7Z78A	Cognitive psychology	Experimental and Cognitive Psychology		
R_2RX3UYogXvCSehM	Cognitive psychology attention memory	Experimental and Cognitive Psychology		
R_3HA1cZPmL96IO4p	Cognitive science	Experimental and Cognitive Psychology		
R_3KwHZ6MheWNRDKS	Cognitive Science	Experimental and Cognitive Psychology		
R_2dtHkMgxUuDcPDF	cognitive science (language processing)	Experimental and Cognitive Psychology		
R_1He16KUXPxw830K	Cognitive science/developmental psychology	Experimental and Cognitive Psychology	Developmental and Educational Psychology	
R_1rlARVUfgDS5XjQ	cognitive, cognitive aging	Experimental and Cognitive Psychology		
R_7O68rTnwpihaTUR	Cognitive. Neuroscience	Experimental and Cognitive Psychology	Neurophysiology and Physiological Psychology	
R_1PUmglTn6nBUq3n	cognitive/experimental/neuro-psychology	Experimental and Cognitive Psychology	Neurophysiology and Physiological Psychology	
R_Ra9mvwIKjp10hix	cognitive/perceptual psychology	Experimental and Cognitive Psychology		
R_2V1GooRkFGt76yp	cogntiion/perception	Experimental and Cognitive Psychology		
R_w5Uu4BJQO0ruFax	colour research	Other		
R_1lAFLxoIIRBypxk	Communication	Other		
R_2dtNE75Zrq4mZJY	Communication	Other		
R_1f7Le4wk0P1X3of	communication, learning and development	Other	Developmental and Educational Psychology	
R_3IVwjbFoO3WUblv	computational cognitive neuroscience	Neurophysiology and Physiological Psychology		
R_27DQQy60GkzSXzM	Computational neuroscience	Neurophysiology and Physiological Psychology		
R_0Han1MojNQt34e5	conflict management, self-regulation, mindset	Other		
R_2X6xACWE2CtzO23	Conflict research	Other		
R_2YmFdJiw47aOhZu	consumer behavior	Applied Psychology		
R_21oXicIwbmpkgSJ	consumer behavior	Applied Psychology		
R_30jJXkpehIS49Uf	Consumer Behavior	Applied Psychology		
R_3kuqMyadkWgo5ZU	Consumer Behaviour	Applied Psychology		
R_2ydqgkzr8VvfjnS	Consumer psychology	Applied Psychology		
R_2zFQeakiIr2uuev	Consumer psychology	Applied Psychology		
R_1pVEAnYoDJWPXGR	consumer psychology	Applied Psychology		
R_BXGa3YnrcDdFp3H	consumer research	Applied Psychology		
R_3LchwyuxUv7HfTH	counseling and developmental	Other	Developmental and Educational Psychology	
R_3pmtMxaf7WeJS9R	Cultural Evolution	Social Psychology		
R_1hXQMUjyEhc5OZg	decision making	Experimental and Cognitive Psychology		
R_ukwh5Yz8FlgrVvP	decision making	Experimental and Cognitive Psychology		
R_1CeW7WdTjnws8Qf	Dev psychology	Developmental and Educational Psychology		
R_TcQZCBjO9QPKAdH	developmental & educational psychology	Developmental and Educational Psychology		
R_1mOszTVWrcCwhzz	developmental and cognitive psych	Developmental and Educational Psychology	Experimental and Cognitive Psychology	
R_OJYKZdvLcOh1JCN	developmental and cognitive psychology	Developmental and Educational Psychology	Experimental and Cognitive Psychology	
R_1FQzSzUeqBxJnyM	Developmental cognitive psychology	Developmental and Educational Psychology		
R_2BmRZidkYR4sMyw	Developmental psychology	Developmental and Educational Psychology		
R_2arZ41YWWLrdxnV	developmental psychology	Developmental and Educational Psychology		
R_QnuwQqMR2qsWIoN	developmental psychology	Developmental and Educational Psychology		
R_pRa5Kqu7i8ckLv3	developmental psychology	Developmental and Educational Psychology		
R_1ISpcmMcTsHST5v	developmental psychology	Developmental and Educational Psychology		
R_28RMvNLmUHA7YEV	developmental psychology	Developmental and Educational Psychology		
R_24kJ3nxc8jjzVzo	Developmental Psychology	Developmental and Educational Psychology		
R_2zkjoQkobVfb2ZE	developmental psychology	Developmental and Educational Psychology		
R_2ykmulxS6JTSuhX	developmental psychology	Developmental and Educational Psychology		
R_3JLrwrm0vBqFUCz	developmental psychology	Developmental and Educational Psychology		
R_29cYjyXWuw9zzIM	developmental psychology	Developmental and Educational Psychology		
R_yxsmrWbHxb44VW1	developmental psychology	Developmental and Educational Psychology		
R_3KUVFVySnpWTbdQ	developmental psychology	Developmental and Educational Psychology		
R_elilx1YrI4rvpm1	Developmental psychology	Developmental and Educational Psychology		
R_2q43xHGwrtk3CGY	developmental psychology	Developmental and Educational Psychology		
R_2rIUJVnxbq6eVIC	Developmental psychology; visual perception	Developmental and Educational Psychology	Neurophysiology and Physiological Psychology	
R_1hWsCk170N5ejCs	developmental, cognitive	Developmental and Educational Psychology	Experimental and Cognitive Psychology	
R_2s1GYJaIPRLjXDv	Developmental/cognitive psychology	Developmental and Educational Psychology	Experimental and Cognitive Psychology	
R_2TBtVcuAQqO4CYW	developmental/forensic psychology	Developmental and Educational Psychology	Other	
R_1dg0wEzp87rGOi2	Differential psychology	Personality Psychology		
R_2QfHBU2DArKlDaF	Eating behaviour, obesity, body image	Other		
R_5mPD9M40BgpUch3	Education, Science Communication, teacher Education	Developmental and Educational Psychology		
R_1JOMXHUuQv0R1Uy	Educational and Social Psychology	Developmental and Educational Psychology		
R_1jK73BwMw1I74DI	Educational psychology	Developmental and Educational Psychology		
R_1mUUriJcvEUHLca	Educational psychology	Developmental and Educational Psychology		
R_3Ic3lUmtv5i8DsC	educational psychology	Developmental and Educational Psychology		
R_2tJzB1wEUhYXcfF	Emotions	Other		
R_ys6uTVWL9cnvA0p	Empirical Aesthetics / Psychology of Art	Other		
R_2eW1ColfbAVmavD	environmental psychology	Other		
R_pPLsMwjnOmaJ7s5	epidemiology/psychology	Other		
R_2Y5rttcNqfzrDmh	Evaluation	Experimental and Cognitive Psychology		
R_PByR9j96rbswu7D	evolutionary and social neuropsychology	Other		
R_e8n91Ktz5aqkgYp	Evolutionary anthropology	Other		
R_10HEBo3owVlU3yI	evolutionary biology, evolutionary psychology	Other		
R_2QtYRaJcbQFcnIS	evolutionary psychology	Other		
R_1BQw5o7fpp09iQk	evolutionary psychology	Other		
R_Z7yUaiR4coMl6cp	Evolutionary psychology	Other		
R_2rMxShXXtbdFJKc	Evolutionary psychology	Other		
R_3QEL0SYevGHTHJ3	Evolutionary Psychology / Personality Psychology	Other	Personality Psychology	
R_2Sf9kvwM5g83arH	evolutionary social psychology	Other		
R_snVzDnqN48yaeNb	exp psych	Experimental and Cognitive Psychology		
R_USIrg8KsWnYTvtT	experimental	Experimental and Cognitive Psychology		
R_0kTv7HPTgFMNGZH	experimental	Experimental and Cognitive Psychology		
R_2whND03jSwhMU4p	Experimental clinical psychology	Experimental and Cognitive Psychology		
R_RqLTZNshZBcNuY9	experimental psychology	Experimental and Cognitive Psychology		
R_3hxZ2Vcew9Z3UW5	experimental psychology	Experimental and Cognitive Psychology		
R_28Am0V4yAFUZCK3	experimental psychology	Experimental and Cognitive Psychology		
R_28MnkaGhYihBjP6	experimental psychology	Experimental and Cognitive Psychology		
R_3PLTpjzOV5av1xu	Experimental Psychology	Experimental and Cognitive Psychology		
R_33EEL7uqnXRPHff	experimental psychology	Experimental and Cognitive Psychology		
R_0AlqtVcBKrVtO9P	Experimental psychology	Experimental and Cognitive Psychology		
R_3PXjqxhdoxvrFtK	Forensic Psychology	Other		
R_2wgDncizGbzNOzN	Forensic psychology	Other		
R_To1Sek6tfabelod	health	Other		
R_3kMyrueij7LZ7Fb	health communication	Other		
R_2SqMDbKG3kiBtgD	health communication	Other		
R_12uqK3Rvux40zKJ	Health psychology	Other		
R_2712Qioi4LRArna	health psychology	Other		
R_YQZJ1gliM1SB1u1	Human learning and education	Developmental and Educational Psychology		
R_2QQh4FG1CYivpam	human-computer interaction	Other		
R_3rGsAitUgYNvjKa	human-robot-interaction	Other		
R_2uqxJhiciGn7WYG	individual differences & comparative psychology	Personality Psychology		
R_2dRbVY6TdaEFTuJ	International security	Other		
R_W34dzkzc6gwyDq9	IO Psychology	Applied Psychology		
R_1rPLt8nhkoL2JtB	JDM	Experimental and Cognitive Psychology		
R_xtL72rzAj99F16h	JDM	Experimental and Cognitive Psychology		
R_saEXGfjLJaLXr1v	judgement and decision-making	Experimental and Cognitive Psychology		
R_1LTjG7NoTTLeFE7	judgment and decision making	Experimental and Cognitive Psychology		
R_3M4OIniVSBjnHtF	judgment and decision making	Experimental and Cognitive Psychology		
R_3JqNEeF6s7ziidW	judgment and decision making	Experimental and Cognitive Psychology		
R_1guSUepEKf68fPa	judgment and decision making / social psychology	Experimental and Cognitive Psychology		
R_qDsLgbLul4GHRHr	judgment and decision-making	Experimental and Cognitive Psychology		
R_32PKTRWoGs5WTs7	language	Other		
R_12PT6gQvle78SIY	Legal psychology	Other		
R_3PAAgCCr2FhFNUy	Legal, clinical, and cognitive  psychology	Other	Clinical Psychology	Experimental and Cognitive Psychology
R_1oCn7IUmoEge0Z2	mathematical psychology	Experimental and Cognitive Psychology		
R_10PFr0ZNxvV6x7f	mathematical psychology; decision-making	Experimental and Cognitive Psychology		
R_33EirR5oihEWv5i	Mathematicl Psychology	Experimental and Cognitive Psychology		
R_pQp3MUXd6R54VwJ	Media psychology	Other		
R_30ocXWNw0JXXC7N	meta-science	Methodology and Statistics		
R_2c8dLOR6rgINBzN	methodological psychology	Methodology and Statistics		
R_32Wlfw2QwV4nzro	moral psychology	Social Psychology		
R_PH6YaGhpa2plONz	Moral sociology	Social Psychology		
R_23eiIOJa7SaOcVw	moral/social psychology	Social Psychology		
R_2DU3E7ZTc13Wamk	motivational psychology	Other		
R_3EG1L2k16OuQVCj	Neurocognitive Psychology	Neurophysiology and Physiological Psychology		
R_3OiWQLZ5c6hKQ5b	Neurolinguistics	Neurophysiology and Physiological Psychology		
R_1DC2xzB01nav3JA	neuropsychology	Neurophysiology and Physiological Psychology		
R_2xJmhjUP02hedVr	Neuroscience	Neurophysiology and Physiological Psychology		
R_1EcZjedGMzqbifH	neuroscience	Neurophysiology and Physiological Psychology		
R_1LjBBWs6gG3N0VH	Neuroscience	Neurophysiology and Physiological Psychology		
R_ZsDWej70K6WIWqJ	Neuroscience	Neurophysiology and Physiological Psychology		
R_88HxJ3rRIHCQo8N	organizational behavior	Applied Psychology		
R_2QmO5XvAE60cs4w	Organizational behavior	Applied Psychology		
R_30qo0Lbl91jAP0m	organizational behvior	Applied Psychology		
R_2rTlwP5xYSrov4I	organizational psychology	Applied Psychology		
R_1pmq7dNZi66q2fo	Perception	Experimental and Cognitive Psychology		
R_1eEFxnj2eqPBxtH	person perception	Social Psychology		
R_2c64R6zk91bsmeA	personality	Personality Psychology		
R_3n1P9Vz6f3AeJss	Personality	Personality Psychology		
R_2s7KSpD6aTc2fnB	personality	Personality Psychology		
R_3oNoArNtt5jPt7j	personality	Personality Psychology		
R_24tMX58nIQgD0IX	Personality	Personality Psychology		
R_1hYa5oxQeGxMbaW	personality	Personality Psychology		
R_1nUR74ZBZaWBQK0	Personality Psychology	Personality Psychology		
R_3sW96KqkWew5Z7z	Personality psychology	Personality Psychology		
R_3lEPQhLpBx1eXoX	personality psychology	Personality Psychology		
R_1Fgirp2mVNf2hir	personality psychology	Personality Psychology		
R_WBxMC1D8QyjAklH	Personality psychology	Personality Psychology		
R_25RzXHH6MtjhFtO	Personality Psychology	Personality Psychology		
R_3e3TxeUCG3qXRga	Personality psychology	Personality Psychology		
R_3qOwtXLLb20b7yq	personality psychology	Personality Psychology		
R_24vLUweNGGUYee9	Personality psychology	Personality Psychology		
R_yqNxauig5ZCqjRv	personality psychology	Personality Psychology		
R_2dRuAlMQyWexZRY	Personality psychology	Personality Psychology		
R_3JyHb9m50OG9kMP	personality psychology	Personality Psychology		
R_3oSBwkdF1fUn8re	Personality Psychology	Personality Psychology		
R_2AMxxRsAtvSGNoq	personality psychology	Personality Psychology		
R_1dEnbGQAcB9O3H6	personality psychology	Personality Psychology		
R_XuhD5kJ27KdXYiJ	Personality Psychology	Personality Psychology		
R_23TveyFGUD1WGRv	personality psychology + clinical psychology	Personality Psychology	Clinical Psychology	
R_tKuzcqADjM9VXHj	Personality/social psychology	Personality Psychology		
R_RnvYCzVtg73gjYZ	Political behavior	Other		
R_OKiCeX27kLv9lfz	political psychology	Other		
R_2f3UmrSPnTn5pRa	political psychology	Other		
R_1JJGrksyLb0EMEY	political psychology	Other		
R_RIYl5ArMGZJ4MSd	psycholinguistics	Other		
R_2rSdSMDghzBIWpH	Psycholinguistics	Other		
R_1gbvatgySXR8Jec	Psychology of Language	Other		
R_2zBZmn1Pdaj4pxA	psychology of language	Other		
R_3DbjZFpGay7vp0M	Public administration	Other		
R_32W56gsmex6DLzm	Public health	Other		
R_3JIrMdQsmI0KSEY	Public health	Other		
R_blQ9vCkyffzTrDX	Risk perception	Experimental and Cognitive Psychology		
R_ZDeqJpCyQdzXCkV	social	Social Psychology		
R_1jdh0ASHTgowpFs	social	Social Psychology		
R_eW3rlhd2GKyXrot	social	Social Psychology		
R_11Z9zHzKw9KsMnl	social	Social Psychology		
R_1lzrVlezryHXFjx	Social	Social Psychology		
R_1MTkxsaPF7vJlpa	social	Social Psychology		
R_2cdc9msdDybg6C1	Social	Social Psychology		
R_cwrmR57Xk1hGlkB	social	Social Psychology		
R_3O3xeLdSwZ2cQF2	social	Social Psychology		
R_3j8skSmFthNDq6x	social	Social Psychology		
R_tXSG6YmRtaH8clX	Social	Social Psychology		
R_1LiDjKYEZaJaGBG	social	Social Psychology		
R_1IzQxPZ9TO92XGz	Social	Social Psychology		
R_25NoLYxuWA3VTOp	social & experimental psychology; large scale & cohort data	Social Psychology	Experimental and Cognitive Psychology	
R_2tyseSS3aa3yKQo	Social and developmental psychology	Social Psychology	Developmental and Educational Psychology	
R_1DPdq1gShNjoXAI	Social and organisational	Social Psychology		
R_3F5640qxxeNi4DI	social and personality psychology	Social Psychology	Personality Psychology	
R_bvYnlmq5WVg3e1z	social cognition and clinical applications	Social Psychology		
R_2aCPEPGUWlTG5Uv	social cognitive psychology	Social Psychology		
R_3HvlkZF7E7bcfsO	Social neuroscience	Social Psychology		
R_2VNEBfblJYlGQfu	social neuroscience	Social Psychology		
R_25dh7QeTSWKwqGJ	Social psych	Social Psychology		
R_3EnzCPm2xONYpjy	Social psych	Social Psychology		
R_1obSfwvWnlmu796	social psych	Social Psychology		
R_2zLWXvrth4sSMYY	social psych	Social Psychology		
R_2zdaSgSadvZqYb3	Social psych	Social Psychology		
R_2zl2SZWXoTbUJfU	social psychology	Social Psychology		
R_Zfz0ZKPPp4BJxzX	Social psychology	Social Psychology		
R_3plnOMmgE7iMu7b	social psychology	Social Psychology		
R_3DvSlv5GdNsj3SO	social psychology	Social Psychology		
R_1jIoc13Llz40GBP	social psychology	Social Psychology		
R_1ffQJOCPpdzJgLV	social psychology	Social Psychology		
R_1FfbyrLqo2yS9XJ	Social psychology	Social Psychology		
R_3Es2Xxj2dy4HBfO	social psychology	Social Psychology		
R_A0d0gQ18nAZjUNH	social psychology	Social Psychology		
R_pbLbMh1IAOY9jwt	social psychology	Social Psychology		
R_2fvXHoyjUQoyx4G	social psychology	Social Psychology		
R_2usWS0BTC3VMCFO	social psychology	Social Psychology		
R_RK6FIJTxgUkdfjP	Social psychology	Social Psychology		
R_qwnVGMW7vCoIqdP	social psychology	Social Psychology		
R_1QmdU6ybroF09Um	social psychology	Social Psychology		
R_pEsdKltHdn0yoxP	social psychology	Social Psychology		
R_2R3bmSMygb7JwTM	social psychology	Social Psychology		
R_1KkJRil1OF1jkuO	social psychology	Social Psychology		
R_9YrKkPVWSsfPwY1	social psychology	Social Psychology		
R_3fVIFYazPtL6Lo0	social psychology	Social Psychology		
R_UtBQnLVoapyC0W5	social psychology	Social Psychology		
R_1rluGPuMzHJEKHs	social psychology	Social Psychology		
R_3sjLMgcubOQrfkq	Social Psychology	Social Psychology		
R_3pi3AGKycSF5AJg	social psychology	Social Psychology		
R_2rA5p0Jnit8h62h	Social Psychology	Social Psychology		
R_2Bzi3UwteDnUVg6	Social psychology	Social Psychology		
R_2rIuRPu6H0vk1hK	Social Psychology	Social Psychology		
R_3Olv2hCJzD1VErq	Social psychology	Social Psychology		
R_xbVt6VHYoVXUtO1	social psychology	Social Psychology		
R_1isTAD0RnC7YoBY	Social Psychology	Social Psychology		
R_24dQPmbjN63jaNt	social psychology	Social Psychology		
R_vwwAEd7lzqINNL3	Social Psychology	Social Psychology		
R_3F3Pe8OBbYzsxvx	social psychology	Social Psychology		
R_qOY9ihKI8MFiFnH	social psychology	Social Psychology		
R_vH289TqtwvXNQfD	Social Psychology	Social Psychology		
R_1JFRANFOfFT1gD9	social psychology	Social Psychology		
R_XHsUNkvp0zJBWE1	social psychology	Social Psychology		
R_3k6OrypK6J2aphC	Social psychology	Social Psychology		
R_78spwG70v7kWUKd	social psychology	Social Psychology		
R_25Lq0FbZkgM0QKd	social psychology	Social Psychology		
R_tDqEaAa7SFGUrWF	social psychology	Social Psychology		
R_2WIuXiPfW6Qd7Vb	Social Psychology	Social Psychology		
R_p6r28kGJZiGPvdT	social psychology	Social Psychology		
R_8Byckw0oEpEORZ7	Social psychology	Social Psychology		
R_RIkVUncLP2JZldf	social psychology	Social Psychology		
R_ZvMTnZCgpzL8OJP	social psychology	Social Psychology		
R_6gRi3xYoRMVrUQ1	Social Psychology	Social Psychology		
R_0BZOQBGukJ7gBHz	social psychology	Social Psychology		
R_1OPkyRJKNDtv1vH	Social psychology	Social Psychology		
R_5zDCm8ToTghEqTD	social psychology	Social Psychology		
R_3qy9KSXFuKWs2GM	social psychology	Social Psychology		
R_PNvZjVZX8ZykoQp	social psychology	Social Psychology		
R_QbnBhTDDADKHmgh	Social Psychology	Social Psychology		
R_zdl7Cnb8UwBa91f	Social psychology	Social Psychology		
R_cVp0suYCc6YaqdP	social psychology	Social Psychology		
R_4MbddDJVTLtZDHz	Social psychology	Social Psychology		
R_32PV6ygVUqVQgNH	social psychology	Social Psychology		
R_3rURpQPgOYioM4M	social psychology	Social Psychology		
R_3G1SGd6qiDdPVbr	social psychology	Social Psychology		
R_1jB4geyX1HVfv89	social psychology	Social Psychology		
R_2vjfPw3aDK5N6HL	social psychology	Social Psychology		
R_Xqbk82xxjRKWW3v	social psychology	Social Psychology		
R_2aIw7keW6kOPqTD	social psychology	Social Psychology		
R_2XjKQ4yT20kTSDU	Social Psychology (Intimate Relationships)	Social Psychology		
R_1MSBeMLSAin8ykF	social psychology / sexuality	Social Psychology		
R_OONo0QzgWL66Os1	social psychology with a focus on intergroup dynamics.	Social Psychology		
R_1JVZN4sHSBZG4C2	Social Psychology- focus is on sex and relationships	Social Psychology		
R_XWWQADzxXaaPSzn	social psychology, economic psychology/behavioral economics	Social Psychology		
R_riPuBnt6mYXW0Df	Social Psychology, Health Psychology	Social Psychology	Other	
R_22qW59kfasjJngi	social psychology, organizational behavior	Social Psychology		
R_3agkMwoyuOxtTl7	Social Psychology; Sexuality	Social Psychology		
R_2fkEcLpiI97DDdU	social psychology/communication	Social Psychology		
R_1pPEcPZew0F7EsR	social-personality	Social Psychology		
R_3oEAHicMTtwhgdf	social, cognitive and personality psychology	Social Psychology	Experimental and Cognitive Psychology	Personality Psychology
R_32WO4m40MW0LTvO	social, personality, legal, political	Social Psychology	Personality Psychology	Other
R_1d6wsQbfkY2VQiL	Social/cognitive  psychology	Social Psychology	Experimental and Cognitive Psychology	
R_1jCD2UZvewEyv8W	Social/OB	Social Psychology		
R_2wSjccM17GeQh65	Social/personality psychology	Social Psychology	Personality Psychology	
R_1dtXMdQ00D46aVh	Social/Personality/Developmental Psychology	Social Psychology	Personality Psychology	Developmental and Educational Psychology
R_1kHBa9PbS1hqACx	Socio-cognitive (evolution-minded) psychology	Social Psychology		
R_25z5Lip5Ill3r5C	Speech neurophysiology	Neurophysiology and Physiological Psychology		
R_1QKou8njOVlbuxm	Sport psychology	Other		
R_1IzamLlhxOcesXw	sport science; experimental psychology	Other	Experimental and Cognitive Psychology	
R_3r7MWNUL01C1f69	test development and adaptation, cognitive psychology	Methodology and Statistics	Experimental and Cognitive Psychology	
R_ZHMfMU9tMrJHbzz	Vision science	Neurophysiology and Physiological Psychology		
R_DwtEbxWL3a48DEl	Vision/Cognition	Experimental and Cognitive Psychology		